1. netqlty 0.75, netp 1.0000, onep 0.0000, zerop 1.0000, randp 1.0000, kuperinp 1.0000, sxs 1
2915. netqlty 0.85, netp 0.4889, onep 0.4998, zerop 0.5002, randp 0.4947, kuperinp 0.4899, sxs 1
2916. netqlty 0.85, netp 0.4887, onep 0.4997, zerop 0.5003, randp 0.4945, kuperinp 0.4897, sxs 0
2917. netqlty 0.85, netp 0.4889, onep 0.4998, zerop 0.5002, randp 0.4947, kuperinp 0.4895, sxs 1
2918. netqlty 0.85, netp 0.4887, onep 0.5000, zerop 0.5000, randp 0.4949, kuperinp 0.4897, sxs 0
2919. netqlty 0.93, netp 0.4885, onep 0.4998, zerop 0.5002, randp 0.4950, kuperinp 0.4896, sxs 0
2920. netqlty 0.79, netp 0.4887, onep 0.5000, zerop 0.5000, randp 0.4949, kuperinp 0.4894, sxs 1
2921. netqlty 0.93, netp 0.4889, onep 0.5002, zerop 0.4998, randp 0.4947, kuperinp 0.4896, sxs 1
2922. netqlty 0.86, netp 0.4890, onep 0.5003, zerop 0.4997, randp 0.4945, kuperinp 0.4897, sxs 1
2923. netqlty 0.87, netp 0.4889, onep 0.5002, zerop 0.4998, randp 0.4947, kuperinp 0.4896, sxs 0
2924. netqlty 0.93, netp 0.4891, onep 0.5003, zerop 0.4997, randp 0.4949, kuperinp 0.4894, sxs 1
2925. netqlty 0.94, netp 0.4889, onep 0.5002, zerop 0.4998, randp 0.4947, kuperinp 0.4892, sxs 0
2926. netqlty 1.00, netp 0.4891, onep 0.5003, zerop 0.4997, randp 0.4945, kuperinp 0.4891, sxs 1
2927. netqlty 0.93, netp 0.4889, onep 0.5002, zerop 0.4998, randp 0.4947, kuperinp 0.4889, sxs 0
2928. netqlty 0.86, netp 0.4887, onep 0.5000, zerop 0.5000, randp 0.4945, kuperinp 0.4891, sxs 0
2929. netqlty 0.85, netp 0.4886, onep 0.4998, zerop 0.5002, randp 0.4947, kuperinp 0.4892, sxs 0
2930. netqlty 0.75, netp 0.4887, onep 0.5000, zerop 0.5000, randp 0.4945, kuperinp 0.4891, sxs 1
2931. netqlty 0.75, netp 0.4889, onep 0.5002, zerop 0.4998, randp 0.4947, kuperinp 0.4893, sxs 1
2932. netqlty 0.75, netp 0.4887, onep 0.5003, zerop 0.4997, randp 0.4945, kuperinp 0.4894, sxs 0
2933. netqlty 0.83, netp 0.4886, onep 0.5002, zerop 0.4998, randp 0.4944, kuperinp 0.4893, sxs 0
2934. netqlty 0.73, netp 0.4884, onep 0.5000, zerop 0.5000, randp 0.4945, kuperinp 0.4894, sxs 0
2935. netqlty 0.73, netp 0.4886, onep 0.4998, zerop 0.5002, randp 0.4947, kuperinp 0.4896, sxs 1
2936. netqlty 0.70, netp 0.4884, onep 0.5000, zerop 0.5000, randp 0.4946, kuperinp 0.4894, sxs 0
2937. netqlty 0.73, netp 0.4883, onep 0.5002, zerop 0.4998, randp 0.4944, kuperinp 0.4896, sxs 0
2938. netqlty 0.64, netp 0.4884, onep 0.5003, zerop 0.4997, randp 0.4946, kuperinp 0.4898, sxs 1
2939. netqlty 0.82, netp 0.4883, onep 0.5005, zerop 0.4995, randp 0.4947, kuperinp 0.4900, sxs 0
2940. netqlty 0.83, netp 0.4881, onep 0.5003, zerop 0.4997, randp 0.4949, kuperinp 0.4898, sxs 0
2941. netqlty 0.73, netp 0.4879, onep 0.5005, zerop 0.4995, randp 0.4951, kuperinp 0.4896, sxs 0
2942. netqlty 0.73, netp 0.4881, onep 0.5003, zerop 0.4997, randp 0.4949, kuperinp 0.4895, sxs 1
2943. netqlty 0.70, netp 0.4883, onep 0.5005, zerop 0.4995, randp 0.4947, kuperinp 0.4893, sxs 1
2944. netqlty 0.82, netp 0.4885, onep 0.5007, zerop 0.4993, randp 0.4949, kuperinp 0.4895, sxs 1
2945. netqlty 0.73, netp 0.4883, onep 0.5005, zerop 0.4995, randp 0.4947, kuperinp 0.4893, sxs 0
2946. netqlty 0.73, netp 0.4881, onep 0.5003, zerop 0.4997, randp 0.4946, kuperinp 0.4895, sxs 0
2947. netqlty 0.80, netp 0.4883, onep 0.5002, zerop 0.4998, randp 0.4944, kuperinp 0.4897, sxs 1
2948. netqlty 0.90, netp 0.4881, onep 0.5003, zerop 0.4997, randp 0.4946, kuperinp 0.4895, sxs 0
2949. netqlty 0.82, netp 0.4880, onep 0.5002, zerop 0.4998, randp 0.4947, kuperinp 0.4893, sxs 0
2950. netqlty 0.82, netp 0.4881, onep 0.5000, zerop 0.5000, randp 0.4949, kuperinp 0.4895, sxs 1
2951. netqlty 0.70, netp 0.4880, onep 0.4998, zerop 0.5002, randp 0.4947, kuperinp 0.4897, sxs 0
2952. netqlty 0.78, netp 0.4881, onep 0.5000, zerop 0.5000, randp 0.4946, kuperinp 0.4895, sxs 1
2953. netqlty 0.78, netp 0.4880, onep 0.5002, zerop 0.4998, randp 0.4948, kuperinp 0.4897, sxs 0
2954. netqlty 0.80, netp 0.4882, onep 0.5003, zerop 0.4997, randp 0.4949, kuperinp 0.4898, sxs 1
2955. netqlty 0.73, netp 0.4883, onep 0.5005, zerop 0.4995, randp 0.4948, kuperinp 0.4900, sxs 1
2956. netqlty 0.75, netp 0.4885, onep 0.5003, zerop 0.4997, randp 0.4946, kuperinp 0.4899, sxs 1
2957. netqlty 0.73, netp 0.4883, onep 0.5002, zerop 0.4998, randp 0.4948, kuperinp 0.4900, sxs 0
2958. netqlty 0.60, netp 0.4885, onep 0.5000, zerop 0.5000, randp 0.4946, kuperinp 0.4902, sxs 1
2959. netqlty 0.78, netp 0.4883, onep 0.4998, zerop 0.5002, randp 0.4948, kuperinp 0.4904, sxs 0
2960. netqlty 0.75, netp 0.4885, onep 0.5000, zerop 0.5000, randp 0.4946, kuperinp 0.4902, sxs 1
2961. netqlty 0.78, netp 0.4887, onep 0.5002, zerop 0.4998, randp 0.4948, kuperinp 0.4904, sxs 1
2962. netqlty 0.89, netp 0.4889, onep 0.5003, zerop 0.4997, randp 0.4946, kuperinp 0.4905, sxs 1
2963. netqlty 0.90, netp 0.4887, onep 0.5002, zerop 0.4998, randp 0.4948, kuperinp 0.4904, sxs 0
2964. netqlty 0.89, netp 0.4885, onep 0.5000, zerop 0.5000, randp 0.4946, kuperinp 0.4906, sxs 0
2965. netqlty 0.75, netp 0.4884, onep 0.5002, zerop 0.4998, randp 0.4948, kuperinp 0.4904, sxs 0
2966. netqlty 0.78, netp 0.4885, onep 0.5003, zerop 0.4997, randp 0.4946, kuperinp 0.4906, sxs 1
2967. netqlty 0.80, netp 0.4887, onep 0.5005, zerop 0.4995, randp 0.4944, kuperinp 0.4907, sxs 1
2968. netqlty 0.73, netp 0.4885, onep 0.5007, zerop 0.4993, randp 0.4946, kuperinp 0.4909, sxs 0
2969. netqlty 0.91, netp 0.4884, onep 0.5005, zerop 0.4995, randp 0.4948, kuperinp 0.4907, sxs 0
2970. netqlty 0.91, netp 0.4882, onep 0.5003, zerop 0.4997, randp 0.4946, kuperinp 0.4909, sxs 0
2971. netqlty 1.00, netp 0.4881, onep 0.5005, zerop 0.4995, randp 0.4948, kuperinp 0.4907, sxs 0
2972. netqlty 0.92, netp 0.4882, onep 0.5007, zerop 0.4993, randp 0.4946, kuperinp 0.4909, sxs 1
2973. netqlty 0.83, netp 0.4884, onep 0.5008, zerop 0.4992, randp 0.4948, kuperinp 0.4911, sxs 1
2974. netqlty 0.92, netp 0.4886, onep 0.5010, zerop 0.4990, randp 0.4946, kuperinp 0.4913, sxs 1
2975. netqlty 0.83, netp 0.4884, onep 0.5012, zerop 0.4988, randp 0.4948, kuperinp 0.4914, sxs 0
2976. netqlty 0.83, netp 0.4886, onep 0.5013, zerop 0.4987, randp 0.4950, kuperinp 0.4916, sxs 1
2977. netqlty 0.92, netp 0.4884, onep 0.5012, zerop 0.4988, randp 0.4951, kuperinp 0.4914, sxs 0
2978. netqlty 0.85, netp 0.4886, onep 0.5013, zerop 0.4987, randp 0.4953, kuperinp 0.4913, sxs 1
2979. netqlty 0.93, netp 0.4888, onep 0.5015, zerop 0.4985, randp 0.4951, kuperinp 0.4914, sxs 1
2980. netqlty 0.93, netp 0.4889, onep 0.5017, zerop 0.4983, randp 0.4953, kuperinp 0.4916, sxs 1
2981. netqlty 0.93, netp 0.4891, onep 0.5015, zerop 0.4985, randp 0.4955, kuperinp 0.4914, sxs 1
2982. netqlty 0.93, netp 0.4889, onep 0.5017, zerop 0.4983, randp 0.4953, kuperinp 0.4913, sxs 0
2983. netqlty 0.86, netp 0.4891, onep 0.5018, zerop 0.4982, randp 0.4951, kuperinp 0.4915, sxs 1
2984. netqlty 0.87, netp 0.4889, onep 0.5017, zerop 0.4983, randp 0.4953, kuperinp 0.4913, sxs 0
2985. netqlty 0.87, netp 0.4891, onep 0.5018, zerop 0.4982, randp 0.4955, kuperinp 0.4911, sxs 1
2986. netqlty 0.93, netp 0.4893, onep 0.5020, zerop 0.4980, randp 0.4956, kuperinp 0.4913, sxs 1
2987. netqlty 0.87, netp 0.4895, onep 0.5022, zerop 0.4978, randp 0.4958, kuperinp 0.4915, sxs 1
2988. netqlty 0.87, netp 0.4893, onep 0.5020, zerop 0.4980, randp 0.4960, kuperinp 0.4913, sxs 0
2989. netqlty 0.86, netp 0.4895, onep 0.5022, zerop 0.4978, randp 0.4962, kuperinp 0.4911, sxs 1
2990. netqlty 0.93, netp 0.4896, onep 0.5023, zerop 0.4977, randp 0.4963, kuperinp 0.4913, sxs 1
2991. netqlty 1.00, netp 0.4898, onep 0.5025, zerop 0.4975, randp 0.4965, kuperinp 0.4915, sxs 1
2992. netqlty 0.94, netp 0.4896, onep 0.5023, zerop 0.4977, randp 0.4967, kuperinp 0.4913, sxs 0
2993. netqlty 0.87, netp 0.4898, onep 0.5025, zerop 0.4975, randp 0.4968, kuperinp 0.4911, sxs 1
2994. netqlty 1.00, netp 0.4896, onep 0.5023, zerop 0.4977, randp 0.4967, kuperinp 0.4910, sxs 0
2995. netqlty 0.93, netp 0.4898, onep 0.5025, zerop 0.4975, randp 0.4965, kuperinp 0.4908, sxs 1
2996. netqlty 0.86, netp 0.4897, onep 0.5027, zerop 0.4973, randp 0.4967, kuperinp 0.4910, sxs 0
2997. netqlty 0.93, netp 0.4895, onep 0.5025, zerop 0.4975, randp 0.4965, kuperinp 0.4908, sxs 0
2998. netqlty 0.93, netp 0.4893, onep 0.5023, zerop 0.4977, randp 0.4963, kuperinp 0.4910, sxs 0
2999. netqlty 0.77, netp 0.4892, onep 0.5022, zerop 0.4978, randp 0.4962, kuperinp 0.4912, sxs 0
3000. netqlty 0.75, netp 0.4890, onep 0.5023, zerop 0.4977, randp 0.4960, kuperinp 0.4910, sxs 0
3001. netqlty 0.75, netp 0.4888, onep 0.5025, zerop 0.4975, randp 0.4962, kuperinp 0.4912, sxs 0
3002. netqlty 0.85, netp 0.4890, onep 0.5023, zerop 0.4977, randp 0.4960, kuperinp 0.4910, sxs 1
3003. netqlty 0.75, netp 0.4892, onep 0.5025, zerop 0.4975, randp 0.4958, kuperinp 0.4908, sxs 1
3004. netqlty 0.75, netp 0.4890, onep 0.5023, zerop 0.4977, randp 0.4960, kuperinp 0.4907, sxs 0
3005. netqlty 0.75, netp 0.4889, onep 0.5022, zerop 0.4978, randp 0.4958, kuperinp 0.4908, sxs 0
3006. netqlty 0.73, netp 0.4887, onep 0.5023, zerop 0.4977, randp 0.4957, kuperinp 0.4907, sxs 0
3007. netqlty 0.73, netp 0.4889, onep 0.5022, zerop 0.4978, randp 0.4958, kuperinp 0.4905, sxs 1
3008. netqlty 0.80, netp 0.4887, onep 0.5023, zerop 0.4977, randp 0.4960, kuperinp 0.4904, sxs 0
3009. netqlty 0.82, netp 0.4889, onep 0.5025, zerop 0.4975, randp 0.4962, kuperinp 0.4905, sxs 1
3010. netqlty 0.82, netp 0.4887, onep 0.5023, zerop 0.4977, randp 0.4963, kuperinp 0.4904, sxs 0
3011. netqlty 0.90, netp 0.4885, onep 0.5025, zerop 0.4975, randp 0.4965, kuperinp 0.4902, sxs 0
3012. netqlty 0.80, netp 0.4887, onep 0.5023, zerop 0.4977, randp 0.4963, kuperinp 0.4900, sxs 1
3013. netqlty 0.70, netp 0.4885, onep 0.5022, zerop 0.4978, randp 0.4965, kuperinp 0.4902, sxs 0
3014. netqlty 0.78, netp 0.4887, onep 0.5023, zerop 0.4977, randp 0.4967, kuperinp 0.4900, sxs 1
3015. netqlty 0.80, netp 0.4889, onep 0.5022, zerop 0.4978, randp 0.4968, kuperinp 0.4899, sxs 1
3016. netqlty 0.78, netp 0.4887, onep 0.5020, zerop 0.4980, randp 0.4967, kuperinp 0.4901, sxs 0
3017. netqlty 0.75, netp 0.4889, onep 0.5022, zerop 0.4978, randp 0.4969, kuperinp 0.4899, sxs 1
3018. netqlty 0.78, netp 0.4891, onep 0.5020, zerop 0.4980, randp 0.4970, kuperinp 0.4897, sxs 1
3019. netqlty 0.89, netp 0.4892, onep 0.5018, zerop 0.4982, randp 0.4972, kuperinp 0.4899, sxs 1
3020. netqlty 0.78, netp 0.4891, onep 0.5017, zerop 0.4983, randp 0.4970, kuperinp 0.4901, sxs 0
3021. netqlty 0.62, netp 0.4889, onep 0.5018, zerop 0.4982, randp 0.4969, kuperinp 0.4899, sxs 0
3022. netqlty 0.75, netp 0.4887, onep 0.5020, zerop 0.4980, randp 0.4967, kuperinp 0.4901, sxs 0
3023. netqlty 0.78, netp 0.4889, onep 0.5018, zerop 0.4982, randp 0.4969, kuperinp 0.4899, sxs 1
3024. netqlty 0.75, netp 0.4888, onep 0.5017, zerop 0.4983, randp 0.4967, kuperinp 0.4901, sxs 0
3025. netqlty 0.88, netp 0.4886, onep 0.5015, zerop 0.4985, randp 0.4969, kuperinp 0.4902, sxs 0
3026. netqlty 0.75, netp 0.4888, onep 0.5013, zerop 0.4987, randp 0.4967, kuperinp 0.4904, sxs 1
3027. netqlty 0.57, netp 0.4889, onep 0.5012, zerop 0.4988, randp 0.4965, kuperinp 0.4906, sxs 1
3028. netqlty 0.71, netp 0.4891, onep 0.5010, zerop 0.4990, randp 0.4967, kuperinp 0.4908, sxs 1
3029. netqlty 0.67, netp 0.4893, onep 0.5008, zerop 0.4992, randp 0.4965, kuperinp 0.4909, sxs 1
3030. netqlty 0.60, netp 0.4891, onep 0.5010, zerop 0.4990, randp 0.4964, kuperinp 0.4908, sxs 0
3031. netqlty 0.83, netp 0.4889, onep 0.5012, zerop 0.4988, randp 0.4965, kuperinp 0.4909, sxs 0
3032. netqlty 0.67, netp 0.4891, onep 0.5013, zerop 0.4987, randp 0.4967, kuperinp 0.4911, sxs 1
3033. netqlty 0.71, netp 0.4890, onep 0.5015, zerop 0.4985, randp 0.4969, kuperinp 0.4913, sxs 0
3034. netqlty 0.75, netp 0.4891, onep 0.5016, zerop 0.4984, randp 0.4970, kuperinp 0.4914, sxs 1
3035. netqlty 0.88, netp 0.4890, onep 0.5015, zerop 0.4985, randp 0.4972, kuperinp 0.4913, sxs 0
3036. netqlty 0.75, netp 0.4888, onep 0.5016, zerop 0.4984, randp 0.4970, kuperinp 0.4911, sxs 0
3037. netqlty 0.89, netp 0.4890, onep 0.5018, zerop 0.4982, randp 0.4972, kuperinp 0.4913, sxs 1
3038. netqlty 0.89, netp 0.4891, onep 0.5020, zerop 0.4980, randp 0.4970, kuperinp 0.4914, sxs 1
3039. netqlty 0.90, netp 0.4893, onep 0.5021, zerop 0.4979, randp 0.4972, kuperinp 0.4916, sxs 1
3040. netqlty 0.91, netp 0.4891, onep 0.5020, zerop 0.4980, randp 0.4974, kuperinp 0.4914, sxs 0
3041. netqlty 0.91, netp 0.4893, onep 0.5018, zerop 0.4982, randp 0.4975, kuperinp 0.4916, sxs 1
3042. netqlty 0.90, netp 0.4895, onep 0.5020, zerop 0.4980, randp 0.4977, kuperinp 0.4915, sxs 1
3043. netqlty 0.90, netp 0.4893, onep 0.5018, zerop 0.4982, randp 0.4975, kuperinp 0.4913, sxs 0
3044. netqlty 0.80, netp 0.4895, onep 0.5020, zerop 0.4980, randp 0.4977, kuperinp 0.4911, sxs 1
3045. netqlty 0.82, netp 0.4897, onep 0.5018, zerop 0.4982, randp 0.4979, kuperinp 0.4910, sxs 1
3046. netqlty 0.91, netp 0.4895, onep 0.5016, zerop 0.4984, randp 0.4977, kuperinp 0.4911, sxs 0
3047. netqlty 0.91, netp 0.4897, onep 0.5018, zerop 0.4982, randp 0.4975, kuperinp 0.4910, sxs 1
3048. netqlty 0.83, netp 0.4895, onep 0.5020, zerop 0.4980, randp 0.4977, kuperinp 0.4911, sxs 0
3049. netqlty 0.77, netp 0.4893, onep 0.5021, zerop 0.4979, randp 0.4979, kuperinp 0.4913, sxs 0
3050. netqlty 0.79, netp 0.4895, onep 0.5020, zerop 0.4980, randp 0.4980, kuperinp 0.4911, sxs 1
3051. netqlty 0.85, netp 0.4897, onep 0.5021, zerop 0.4979, randp 0.4982, kuperinp 0.4910, sxs 1
3052. netqlty 0.85, netp 0.4895, onep 0.5023, zerop 0.4977, randp 0.4984, kuperinp 0.4912, sxs 0
3053. netqlty 0.85, netp 0.4897, onep 0.5021, zerop 0.4979, randp 0.4982, kuperinp 0.4910, sxs 1
3054. netqlty 0.75, netp 0.4898, onep 0.5023, zerop 0.4977, randp 0.4984, kuperinp 0.4908, sxs 1
3055. netqlty 0.83, netp 0.4897, onep 0.5021, zerop 0.4979, randp 0.4985, kuperinp 0.4907, sxs 0
3056. netqlty 0.75, netp 0.4895, onep 0.5020, zerop 0.4980, randp 0.4984, kuperinp 0.4908, sxs 0
3057. netqlty 0.73, netp 0.4897, onep 0.5018, zerop 0.4982, randp 0.4985, kuperinp 0.4910, sxs 1
3058. netqlty 0.80, netp 0.4895, onep 0.5016, zerop 0.4984, randp 0.4984, kuperinp 0.4912, sxs 0
3059. netqlty 0.78, netp 0.4894, onep 0.5018, zerop 0.4982, randp 0.4985, kuperinp 0.4910, sxs 0
3060. netqlty 0.78, netp 0.4892, onep 0.5020, zerop 0.4980, randp 0.4984, kuperinp 0.4912, sxs 0
3061. netqlty 0.70, netp 0.4894, onep 0.5021, zerop 0.4979, randp 0.4985, kuperinp 0.4913, sxs 1
3062. netqlty 0.73, netp 0.4895, onep 0.5023, zerop 0.4977, randp 0.4984, kuperinp 0.4915, sxs 1
3063. netqlty 0.91, netp 0.4897, onep 0.5021, zerop 0.4979, randp 0.4985, kuperinp 0.4913, sxs 1
3064. netqlty 0.82, netp 0.4899, onep 0.5023, zerop 0.4977, randp 0.4984, kuperinp 0.4912, sxs 1
3065. netqlty 0.82, netp 0.4897, onep 0.5024, zerop 0.4976, randp 0.4985, kuperinp 0.4914, sxs 0
3066. netqlty 0.83, netp 0.4896, onep 0.5023, zerop 0.4977, randp 0.4984, kuperinp 0.4912, sxs 0
3067. netqlty 0.83, netp 0.4897, onep 0.5024, zerop 0.4976, randp 0.4985, kuperinp 0.4910, sxs 1
3068. netqlty 0.75, netp 0.4896, onep 0.5026, zerop 0.4974, randp 0.4984, kuperinp 0.4912, sxs 0
3069. netqlty 0.83, netp 0.4894, onep 0.5028, zerop 0.4972, randp 0.4982, kuperinp 0.4914, sxs 0
3070. netqlty 0.75, netp 0.4896, onep 0.5029, zerop 0.4971, randp 0.4984, kuperinp 0.4915, sxs 1
3071. netqlty 0.85, netp 0.4897, onep 0.5031, zerop 0.4969, randp 0.4985, kuperinp 0.4917, sxs 1
3072. netqlty 0.85, netp 0.4896, onep 0.5029, zerop 0.4971, randp 0.4984, kuperinp 0.4915, sxs 0
3073. netqlty 0.75, netp 0.4894, onep 0.5028, zerop 0.4972, randp 0.4982, kuperinp 0.4917, sxs 0
3074. netqlty 0.83, netp 0.4893, onep 0.5029, zerop 0.4971, randp 0.4980, kuperinp 0.4915, sxs 0
3075. netqlty 0.83, netp 0.4891, onep 0.5031, zerop 0.4969, randp 0.4979, kuperinp 0.4917, sxs 0
3076. netqlty 0.85, netp 0.4893, onep 0.5029, zerop 0.4971, randp 0.4977, kuperinp 0.4915, sxs 1
3077. netqlty 0.85, netp 0.4894, onep 0.5028, zerop 0.4972, randp 0.4979, kuperinp 0.4917, sxs 1
3078. netqlty 0.85, netp 0.4893, onep 0.5026, zerop 0.4974, randp 0.4977, kuperinp 0.4919, sxs 0
3079. netqlty 0.77, netp 0.4891, onep 0.5028, zerop 0.4972, randp 0.4979, kuperinp 0.4917, sxs 0
3080. netqlty 0.85, netp 0.4893, onep 0.5029, zerop 0.4971, randp 0.4977, kuperinp 0.4919, sxs 1
3081. netqlty 0.92, netp 0.4891, onep 0.5028, zerop 0.4972, randp 0.4979, kuperinp 0.4917, sxs 0
3082. netqlty 0.83, netp 0.4893, onep 0.5026, zerop 0.4974, randp 0.4981, kuperinp 0.4919, sxs 1
3083. netqlty 0.73, netp 0.4895, onep 0.5024, zerop 0.4976, randp 0.4979, kuperinp 0.4921, sxs 1
3084. netqlty 0.91, netp 0.4896, onep 0.5026, zerop 0.4974, randp 0.4977, kuperinp 0.4919, sxs 1
3085. netqlty 0.82, netp 0.4898, onep 0.5024, zerop 0.4976, randp 0.4976, kuperinp 0.4917, sxs 1
3086. netqlty 0.90, netp 0.4896, onep 0.5026, zerop 0.4974, randp 0.4974, kuperinp 0.4916, sxs 0
3087. netqlty 0.82, netp 0.4895, onep 0.5028, zerop 0.4972, randp 0.4976, kuperinp 0.4917, sxs 0
3088. netqlty 0.91, netp 0.4893, onep 0.5029, zerop 0.4971, randp 0.4974, kuperinp 0.4919, sxs 0
3089. netqlty 0.73, netp 0.4892, onep 0.5028, zerop 0.4972, randp 0.4972, kuperinp 0.4917, sxs 0
3090. netqlty 0.80, netp 0.4893, onep 0.5029, zerop 0.4971, randp 0.4974, kuperinp 0.4916, sxs 1
3091. netqlty 0.70, netp 0.4892, onep 0.5031, zerop 0.4969, randp 0.4973, kuperinp 0.4918, sxs 0
3092. netqlty 0.70, netp 0.4890, onep 0.5029, zerop 0.4971, randp 0.4974, kuperinp 0.4916, sxs 0
3093. netqlty 0.80, netp 0.4888, onep 0.5031, zerop 0.4969, randp 0.4973, kuperinp 0.4914, sxs 0
3094. netqlty 0.91, netp 0.4887, onep 0.5029, zerop 0.4971, randp 0.4974, kuperinp 0.4913, sxs 0
3095. netqlty 0.80, netp 0.4885, onep 0.5027, zerop 0.4973, randp 0.4976, kuperinp 0.4914, sxs 0
3096. netqlty 0.89, netp 0.4884, onep 0.5029, zerop 0.4971, randp 0.4974, kuperinp 0.4913, sxs 0
3097. netqlty 0.70, netp 0.4882, onep 0.5031, zerop 0.4969, randp 0.4976, kuperinp 0.4914, sxs 0
3098. netqlty 0.82, netp 0.4884, onep 0.5032, zerop 0.4968, randp 0.4974, kuperinp 0.4916, sxs 1
3099. netqlty 0.75, netp 0.4885, onep 0.5031, zerop 0.4969, randp 0.4973, kuperinp 0.4914, sxs 1
3100. netqlty 0.91, netp 0.4884, onep 0.5032, zerop 0.4968, randp 0.4974, kuperinp 0.4913, sxs 0
3101. netqlty 0.82, netp 0.4886, onep 0.5031, zerop 0.4969, randp 0.4973, kuperinp 0.4911, sxs 1
3102. netqlty 0.82, netp 0.4884, onep 0.5029, zerop 0.4971, randp 0.4971, kuperinp 0.4913, sxs 0
3103. netqlty 0.82, netp 0.4882, onep 0.5031, zerop 0.4969, randp 0.4969, kuperinp 0.4911, sxs 0
3104. netqlty 0.75, netp 0.4884, onep 0.5029, zerop 0.4971, randp 0.4968, kuperinp 0.4910, sxs 1
3105. netqlty 0.91, netp 0.4882, onep 0.5031, zerop 0.4969, randp 0.4969, kuperinp 0.4908, sxs 0
3106. netqlty 0.75, netp 0.4884, onep 0.5032, zerop 0.4968, randp 0.4968, kuperinp 0.4910, sxs 1
3107. netqlty 0.75, netp 0.4886, onep 0.5034, zerop 0.4966, randp 0.4969, kuperinp 0.4911, sxs 1
3108. netqlty 0.67, netp 0.4884, onep 0.5035, zerop 0.4965, randp 0.4968, kuperinp 0.4913, sxs 0
3109. netqlty 0.75, netp 0.4886, onep 0.5037, zerop 0.4963, randp 0.4966, kuperinp 0.4915, sxs 1
3110. netqlty 0.77, netp 0.4887, onep 0.5035, zerop 0.4965, randp 0.4965, kuperinp 0.4913, sxs 1
3111. netqlty 0.83, netp 0.4886, onep 0.5034, zerop 0.4966, randp 0.4963, kuperinp 0.4915, sxs 0
3112. netqlty 0.73, netp 0.4884, onep 0.5032, zerop 0.4968, randp 0.4965, kuperinp 0.4916, sxs 0
3113. netqlty 0.82, netp 0.4883, onep 0.5031, zerop 0.4969, randp 0.4966, kuperinp 0.4918, sxs 0
3114. netqlty 0.90, netp 0.4881, onep 0.5032, zerop 0.4968, randp 0.4968, kuperinp 0.4917, sxs 0
3115. netqlty 0.82, netp 0.4883, onep 0.5034, zerop 0.4966, randp 0.4966, kuperinp 0.4918, sxs 1
3116. netqlty 0.75, netp 0.4884, onep 0.5035, zerop 0.4965, randp 0.4968, kuperinp 0.4920, sxs 1
3117. netqlty 0.83, netp 0.4883, onep 0.5034, zerop 0.4966, randp 0.4970, kuperinp 0.4918, sxs 0
3118. netqlty 0.82, netp 0.4881, onep 0.5035, zerop 0.4965, randp 0.4971, kuperinp 0.4917, sxs 0
3119. netqlty 0.73, netp 0.4880, onep 0.5034, zerop 0.4966, randp 0.4973, kuperinp 0.4915, sxs 0
3120. netqlty 0.82, netp 0.4878, onep 0.5035, zerop 0.4965, randp 0.4974, kuperinp 0.4913, sxs 0
3121. netqlty 0.91, netp 0.4877, onep 0.5034, zerop 0.4966, randp 0.4976, kuperinp 0.4912, sxs 0
3122. netqlty 0.82, netp 0.4878, onep 0.5035, zerop 0.4965, randp 0.4974, kuperinp 0.4910, sxs 1
3123. netqlty 0.75, netp 0.4877, onep 0.5037, zerop 0.4963, randp 0.4973, kuperinp 0.4912, sxs 0
3124. netqlty 0.83, netp 0.4878, onep 0.5038, zerop 0.4962, randp 0.4971, kuperinp 0.4914, sxs 1
3125. netqlty 0.77, netp 0.4880, onep 0.5040, zerop 0.4960, randp 0.4973, kuperinp 0.4915, sxs 1
3126. netqlty 0.92, netp 0.4878, onep 0.5038, zerop 0.4962, randp 0.4971, kuperinp 0.4914, sxs 0
3127. netqlty 0.75, netp 0.4880, onep 0.5040, zerop 0.4960, randp 0.4970, kuperinp 0.4912, sxs 1
3128. netqlty 0.92, netp 0.4879, onep 0.5038, zerop 0.4962, randp 0.4968, kuperinp 0.4910, sxs 0
3129. netqlty 1.00, netp 0.4880, onep 0.5040, zerop 0.4960, randp 0.4966, kuperinp 0.4909, sxs 1
3130. netqlty 0.82, netp 0.4879, onep 0.5042, zerop 0.4958, randp 0.4968, kuperinp 0.4911, sxs 0
3131. netqlty 0.83, netp 0.4880, onep 0.5043, zerop 0.4957, randp 0.4966, kuperinp 0.4912, sxs 1
3132. netqlty 0.85, netp 0.4882, onep 0.5045, zerop 0.4955, randp 0.4968, kuperinp 0.4914, sxs 1
3133. netqlty 0.86, netp 0.4883, onep 0.5046, zerop 0.4954, randp 0.4966, kuperinp 0.4915, sxs 1
3134. netqlty 1.00, netp 0.4885, onep 0.5048, zerop 0.4952, randp 0.4968, kuperinp 0.4917, sxs 1
3135. netqlty 0.87, netp 0.4887, onep 0.5049, zerop 0.4951, randp 0.4970, kuperinp 0.4919, sxs 1
3136. netqlty 0.93, netp 0.4888, onep 0.5048, zerop 0.4952, randp 0.4968, kuperinp 0.4917, sxs 1
3137. netqlty 0.93, netp 0.4887, onep 0.5046, zerop 0.4954, randp 0.4967, kuperinp 0.4919, sxs 0
3138. netqlty 0.93, netp 0.4885, onep 0.5048, zerop 0.4952, randp 0.4968, kuperinp 0.4917, sxs 0
